Transaction_ID,Total_Duration_Sec,Approach_Sec,Card_Insert_Sec,PIN_Entry_Sec,Card_Retrieve_Sec,Cash_Out_Sec,Success
TXN-9655,51.0,5.0,1.7391304347826086,12.782608695652174,22.608695652173914,4.652173913043477,True
TXN-1,51.0,5.0,1.7391304347826086,12.782608695652174,22.608695652173914,4.652173913043477,True
TXN-10,43.0,5.0,1.3043478260869565,9.130434782608695,20.08695652173913,4.0,True
TXN-11,44.78260869565217,5.0,21.91304347826087,0,0,0,False
TXN-2,41.608695652173914,5.0,2.4782608695652173,11.347826086956522,17.65217391304348,0,False
TXN-3,44.69565217391305,5.0,5.043478260869565,10.478260869565219,16.47826086956522,0,False
TXN-4,25.24,5.0,25.24,0,0,0,False
TXN-5,39.56521739130435,5.0,3.391304347826087,4.826086956521739,6.3478260869565215,0,False
TXN-6,38.08695652173913,5.0,5.739130434782608,13.652173913043477,10.565217391304348,-24.217391304347824,True
TXN-7,27.91304347826087,5.0,4.913043478260869,10.565217391304348,0,0,False
TXN-8,39.43478260869565,5.0,2.391304347826087,3.391304347826087,14.130434782608697,13.043478260869566,True
TXN-9,40.17391304347826,5.0,21.434782608695652,13.130434782608699,0,0,False
